Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,CharacterStatus,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1715330607429,258.294,Cow_boy,-6.00012,-1.0,0.09987126,Idle,,,-6.051203,-0.09563458,0.3896578,-5.95043,-0.09175372,-0.162416,-8.642,0.125,3.487,,0.0,0.0,,,0.0080076938354199,0.0143548876910518,0.0006654782302619,0.0230280597567337,0.5578374423933391,0.3477363668503769,0.6233650530133886,-4.243664789121232,0.0
1715330607513,258.3777,Cow_boy,-5.916425,-1.001256,0.0998733,Idle,,,-5.948702,-0.09218633,0.4030257,-5.86249,-0.08393866,-0.1753716,-8.678,0.117,3.449,,0.084,0.1,,,0.0080076938354199,0.0143548876910518,0.0006654782302619,0.0230280597567337,0.5578374423933391,0.3477363668503769,0.6233650530133886,-4.243664789121232,0.1
1715330607596,258.4612,Cow_boy,-5.833035,-1.002508,0.09987529,Idle,,,-5.911191,-0.09516108,0.4050929,-5.700857,-0.04437399,-0.2053512,-8.691,0.183,3.357,,0.167,0.2,,,0.0549093730537061,0.0150768815642245,0.0006073785582661,0.0705936331761968,1.5858777084252662,0.7778233047824032,0.2135728235801902,-4.194592730610216,0.2
1715330607680,258.5444,Cow_boy,-5.749818,-1.003757,0.09987731,Idle,,,-5.915271,-0.1168467,0.3830279,-5.506976,0.0142386,-0.2278318,-8.811,0.167,3.372,,0.251,0.3,,,0.0549093730537061,0.0150768815642245,0.0006073785582661,0.0705936331761968,2.09989784144123,0.7778233047824032,0.2135728235801902,-4.194592730610216,0.3
1715330607763,258.6276,Cow_boy,-5.666564,-1.005006,0.0998793,Idle,,,-5.831172,-0.1437279,0.3773943,-5.395665,0.0253135,-0.2124131,-8.804,0.203,3.362,,0.334,0.3,,,0.0549093730537061,0.0150768815642245,0.0006073785582661,0.0705936331761968,2.09989784144123,0.7778233047824032,0.2135728235801902,-4.194592730610216,0.3
1715330607846,258.7112,Cow_boy,-5.583056,-1.00626,0.09988127,Idle,,,-5.681365,-0.1397767,0.4176842,-5.386374,0.0004457235,-0.1849241,-8.863,0.257,3.372,,0.417,0.4,,,0.0549093730537061,0.0150768815642245,0.0006073785582661,0.0705936331761968,2.408309921250808,0.7778233047824032,0.2135728235801902,-4.194592730610216,0.4
1715330607929,258.7941,Cow_boy,-5.50013,-1.007504,0.09988324,Idle,,,-5.528274,-0.117888,0.4799917,-5.423059,-0.04351217,-0.1405585,-8.893,0.258,3.335,,0.5,0.5,,,0.0549093730537061,0.0150768815642245,0.0006073785582661,0.0705936331761968,2.613917974457193,0.7778233047824032,0.2135728235801902,-4.194592730610216,0.5
1715330608012,258.8782,Cow_boy,-5.416011,-1.008767,0.09988532,Idle,,,-5.353841,-0.06379956,0.5138406,-5.459068,-0.07637739,-0.11448,-8.783,0.266,3.353,,0.583,0.6,,,0.0549093730537061,0.0150768815642245,0.0006073785582661,0.0705936331761968,2.760780869604612,0.7778233047824032,0.2135728235801902,-4.194592730610216,0.6
1715330608096,258.961,Cow_boy,-5.333186,-1.01001,0.09988735,Idle,,,-5.174752,0.005444407,0.5095199,-5.483119,-0.086528,-0.1051311,-8.772,0.22,3.369,,0.667,0.7,,,0.0549093730537061,0.0150768815642245,0.0006073785582661,0.0705936331761968,2.8709280409651754,0.7778233047824032,0.2135728235801902,-4.194592730610216,0.7
1715330608179,259.0442,Cow_boy,-5.250008,-1.011259,0.09988938,Idle,,,-5.014618,0.04460871,0.5113934,-5.476823,-0.09728563,-0.0795308,-8.729,0.24,3.376,,0.75,0.8,,,0.0549940286555986,0.0142211947599979,0.0007338453332088,0.0699490687488054,2.981607926259734,0.7862010122406062,0.2033078497594843,-4.253021838446063,0.8
