Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,CharacterStatus,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1716536185534,483.2189,Cow_Girl,-6.000121,-1.0,0.09987079,Idle,,,-6.051837,-0.08532995,0.3392033,-5.956706,-0.08145475,-0.1125413,-14.889,0.22,2.271,,0.0,0.0,,,0.0202653391235086,0.0034203087373878,0.0005487266834099,0.0242343745443064,5.9250028811684485,0.836222906700505,0.1411345991675866,-5.678024457892067,0.0
1716536185618,483.3021,Cow_Girl,-5.916852,-1.00125,0.0998728,Idle,,,-5.95078,-0.08176249,0.3515725,-5.869338,-0.07371682,-0.1250239,-15.049,0.248,2.279,,0.084,0.1,,,0.0217034896303162,0.00369203299672,0.0006831994121476,0.0260787220391838,5.901734330647416,0.8322298001300141,0.1415726196695018,-5.601578025025012,0.1
1716536185702,483.3854,Cow_Girl,-5.83355,-1.0025,0.09987479,Idle,,,-5.910559,-0.08492965,0.3523293,-5.714627,-0.03805393,-0.1528212,-15.282,0.001,2.465,,0.168,0.2,,,0.0217034896303162,0.00369203299672,0.0006831994121476,0.0260787220391838,5.8939781471404045,0.8322298001300141,0.1415726196695018,-5.601578025025012,0.2
1716536185785,483.4675,Cow_Girl,-5.751536,-1.003731,0.09987675,Idle,,,-5.913316,-0.1075118,0.3282019,-5.526259,0.01598084,-0.1743228,-15.52,-0.27,2.475,,0.251,0.3,,,0.0217034896303162,0.00369203299672,0.0006831994121476,0.0260787220391838,5.890100055386899,0.8322298001300141,0.1415726196695018,-5.601578025025012,0.3
1716536185868,483.5514,Cow_Girl,-5.667627,-1.004991,0.09987877,Idle,,,-5.822631,-0.1320706,0.324676,-5.420218,0.02180386,-0.1586585,-15.942,-0.365,2.358,,0.334,0.3,,,0.0217034896303162,0.00369203299672,0.0006831994121476,0.0260787220391838,5.890100055386899,0.8322298001300141,0.1415726196695018,-5.601578025025012,0.3
1716536185952,483.6352,Cow_Girl,-5.583838,-1.006248,0.09988079,Idle,,,-5.677082,-0.1261534,0.3658689,-5.403921,0.0004584789,-0.1320007,-17.383,-0.475,2.204,,0.418,0.4,,,0.0218761886832042,0.0036736325817894,0.0005473033303507,0.0260971245953445,5.903064074212051,0.8382604989021193,0.1407677144034788,-5.606574302146631,0.4
1716536186036,483.7202,Cow_Girl,-5.498798,-1.007525,0.09988282,Idle,,,-5.526038,-0.1035892,0.428309,-5.431965,-0.03973764,-0.08821448,-19.718,-0.504,1.934,,0.502,0.5,,,0.0218761886832042,0.0036736325817894,0.0005473033303507,0.0260971245953445,5.91170675342882,0.8382604989021193,0.1407677144034788,-5.606574302146631,0.5
1716536186120,483.8025,Cow_Girl,-5.416601,-1.008758,0.09988473,Idle,,,-5.361714,-0.05190217,0.4608361,-5.460006,-0.06792051,-0.06228786,-22.637,-0.397,1.721,,0.586,0.6,,,0.0218761886832042,0.0036736325817894,0.0005473033303507,0.0260971245953445,5.917880095726511,0.8382604989021193,0.1407677144034788,-5.606574302146631,0.6
1716536186203,483.8861,Cow_Girl,-5.332987,-1.010013,0.09988669,Idle,,,-5.189669,0.01171374,0.4557738,-5.476441,-0.07708418,-0.05155995,-24.39,-0.295,1.698,,0.669,0.7,,,0.0218761886832042,0.0036736325817894,0.0005473033303507,0.0260971245953445,5.922510102449779,0.8382604989021193,0.1407677144034788,-5.606574302146631,0.7
1716536186301,483.9841,Cow_Girl,-5.234945,-1.011485,0.09988902,Idle,,,-5.014033,0.04903901,0.4593184,-5.454748,-0.08790326,-0.02136406,-25.139,-0.469,2.115,,0.767,0.8,,,0.0235495099974599,0.0039761251838267,0.0006852226396268,0.0282108578209135,5.922534370287341,0.8347675971767837,0.1409430797555954,-5.527447505817556,0.8
1716536186386,484.0691,Cow_Girl,-5.14994,-1.012761,0.09989104,Idle,,,-4.902474,0.04228866,0.4747488,-5.378778,-0.1030274,-0.005922996,-25.055,-0.83,2.43,,0.852,0.9,,,0.0235495099974599,0.0039761251838267,0.0006852226396268,0.0282108578209135,5.922553784557391,0.8347675971767837,0.1409430797555954,-5.527447505817556,0.9
