Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,CharacterStatus,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1715333031800,457.2259,Cow_boy,-6.000123,-1.0,0.09986936,Idle,,,-6.0512,-0.09563404,0.3896511,-5.950428,-0.09175611,-0.1624157,-6.092,0.526,-0.75,,0.0,0.0,,,0.0192219964591543,0.0130247345310855,0.0006395117843617,0.0328862427746015,1.4758071585473085,0.5844996216472521,0.3960541987224108,-4.340905073040968,0.0
1715333031883,457.3086,Cow_boy,-5.917443,-1.001241,0.09987137,Idle,,,-5.949687,-0.09222853,0.4028668,-5.863857,-0.08420205,-0.1751356,-6.407,1.169,-0.96,,0.083,0.1,,,0.0233090099248732,0.0151368741650642,0.0017109638111992,0.0401568479011366,1.5078449050286833,0.5804491921840669,0.376943783095978,-4.190621514305944,0.1
1715333031966,457.3926,Cow_boy,-5.833382,-1.002503,0.09987342,Idle,,,-5.912085,-0.0952366,0.4050162,-5.700482,-0.04402637,-0.2055594,-6.442,1.499,-1.332,,0.166,0.2,,,0.0192219964591543,0.0130247345310855,0.0006395117843617,0.0328862427746015,1.4971656562015585,0.5844996216472521,0.3960541987224108,-4.340905073040968,0.2
1715333032049,457.4748,Cow_boy,-5.751285,-1.003735,0.0998754,Idle,,,-5.916327,-0.1166714,0.3832047,-5.508999,0.01391709,-0.2277569,-6.731,1.788,-1.379,,0.249,0.2,,,0.0192219964591543,0.0130247345310855,0.0006395117843617,0.0328862427746015,1.4971656562015585,0.5844996216472521,0.3960541987224108,-4.340905073040968,0.2
1715333032133,457.5582,Cow_boy,-5.667819,-1.004987,0.09987742,Idle,,,-5.833528,-0.1434622,0.3771458,-5.396014,0.02574694,-0.2126629,-6.9,2.089,-1.275,,0.333,0.3,,,0.0228435723958212,0.0149164252572866,0.001604051231666,0.0393640488847739,1.5057336069420413,0.58031561902305,0.3789352386221721,-4.205292306929392,0.3
1715333032216,457.6416,Cow_boy,-5.584431,-1.006239,0.09987942,Idle,,,-5.682292,-0.1396136,0.4181966,-5.388423,0.0002810955,-0.1846124,-6.603,2.316,-1.288,,0.416,0.4,,,0.0228435723958212,0.0149164252572866,0.001604051231666,0.0393640488847739,1.510874377386331,0.58031561902305,0.3789352386221721,-4.205292306929392,0.4
1715333032299,457.7262,Cow_boy,-5.499899,-1.007508,0.09988148,Idle,,,-5.527905,-0.117829,0.4800618,-5.423017,-0.04358602,-0.140521,-6.1,2.402,-1.312,,0.499,0.5,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.4951624402923889,0.5695357623495317,0.4020433818941878,-4.209745436842502,0.5
1715333032383,457.8082,Cow_boy,-5.417915,-1.008738,0.09988353,Idle,,,-5.356817,-0.06467462,0.513651,-5.45959,-0.07620835,-0.1146193,-5.836,2.397,-1.43,,0.583,0.6,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.4839396280824295,0.5695357623495317,0.4020433818941878,-4.209745436842502,0.6
1715333032466,457.8916,Cow_boy,-5.334441,-1.009991,0.09988562,Idle,,,-5.177213,0.00481391,0.5096001,-5.483238,-0.08628297,-0.1054043,-5.644,2.232,-1.435,,0.666,0.7,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.4755225189249603,0.5695357623495317,0.4020433818941878,-4.209745436842502,0.7
1715333032549,457.9756,Cow_boy,-5.250468,-1.011251,0.09988777,Idle,,,-5.015746,0.04433727,0.5111666,-5.476677,-0.09724933,-0.07995888,-5.372,1.896,-1.419,,0.749,0.7,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.4755225189249603,0.5695357623495317,0.4020433818941878,-4.209745436842502,0.7
1715333032632,458.058,Cow_boy,-5.168074,-1.012488,0.09988985,Idle,,,-4.897853,0.04335284,0.5279758,-5.414726,-0.1121161,-0.05915447,-5.406,1.688,-1.359,,0.832,0.8,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.4689758784691511,0.5695357623495317,0.4020433818941878,-4.209745436842502,0.8
1715333032716,458.1419,Cow_boy,-5.084171,-1.013747,0.09989194,Idle,,,-4.834499,0.01715469,0.5147916,-5.291101,-0.1084883,-0.09788509,-5.487,1.659,-1.328,,0.916,0.9,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.4637385661045037,0.5695357623495317,0.4020433818941878,-4.209745436842502,0.9
1715333032799,458.2254,Cow_boy,-5.000684,-1.015,0.09989402,Idle,,,-4.810957,-0.02827275,0.472813,-5.115295,-0.1047909,-0.1666258,-5.378,1.765,-1.363,,0.999,1.0,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.45945349235161,0.5695357623495317,0.4020433818941878,-4.209745436842502,1.0
1715333032882,458.309,Cow_boy,-4.917089,-1.016255,0.09989617,Idle,,,-4.844347,-0.06581903,0.4400693,-4.91436,-0.07167619,-0.2199487,-5.465,2.125,-1.305,,1.082,1.1,,,0.0174908211301917,0.0131763118254034,0.0007516662843545,0.0314187992399497,1.448452733295286,0.556699223182017,0.4193766835191284,-4.329334620220822,1.1
1715333032966,458.3914,Cow_boy,-4.834711,-1.017491,0.09989832,Idle,,,-4.89317,-0.09614944,0.4177717,-4.695118,-0.01280236,-0.2348261,-5.828,2.278,-1.031,,1.166,1.2,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.4460027349512392,0.5695357623495317,0.4020433818941878,-4.209745436842502,1.2
1715333033049,458.4748,Cow_boy,-4.751319,-1.018743,0.09990046,Idle,,,-4.910738,-0.1235046,0.3899021,-4.509514,0.01724744,-0.2339292,-5.985,1.94,-0.816,,1.249,1.2,,,0.0210367607895376,0.0148501481575693,0.001049772083692,0.036936681030799,1.4460027349512392,0.5695357623495317,0.4020433818941878,-4.209745436842502,1.2
1715333033132,458.5583,Cow_boy,-4.667867,-1.019995,0.09990261,Idle,,,-4.846469,-0.1495155,0.3733234,-4.389782,0.0171653,-0.2229568,-5.895,1.379,-0.689,,1.332,1.3,,,0.0159226335219809,0.0132390077843625,0.0004560550185323,0.0296176963248758,1.4286243936418088,0.5376054014237288,0.4469965401476247,-4.324587672039593,1.3
